student_id,event_timestamp,target,programming,database,problem_solving,communication,cloud_computing,teamwork,aptitude,industry_programming_requirement,industry_database_requirement,industry_problem_solving_requirement,industry_communication_requirement,industry_cloud_computing_requirement,industry_teamwork_requirement,industry_aptitude_requirement,programming_gap,database_gap,problem_solving_gap,communication_gap,cloud_computing_gap,teamwork_gap,aptitude_gap,technical_skill_avg,industry_requirement_avg,calculated_skill_gap,requirement_difference
CSE2610001,2026-08-01 00:00:00+00:00,Medium,2,4,3,3,3,3,2,4,4,5,4,5,3,4,2,0,2,1,2,0,2,2.857142857142857,4.142857142857143,1.2857142857142858,1.285714285714286
CSE2610002,2026-08-01 00:01:00+00:00,Low,5,3,5,2,3,4,3,5,5,5,4,3,4,4,0,2,0,2,0,0,1,3.5714285714285716,4.285714285714286,0.7142857142857143,0.714285714285714
CSE2610003,2026-08-01 00:02:00+00:00,Medium,5,3,4,1,4,4,3,3,4,5,5,5,4,3,0,1,1,4,1,0,0,3.4285714285714284,4.142857142857143,1.0,0.7142857142857149
CSE2610004,2026-08-01 00:03:00+00:00,Medium,2,3,1,4,2,3,3,3,4,5,4,5,3,4,1,1,4,0,3,0,1,2.5714285714285716,4.0,1.4285714285714286,1.4285714285714284
CSE2610005,2026-08-01 00:04:00+00:00,Low,5,4,2,5,4,3,3,4,4,4,3,4,4,4,0,0,2,0,0,1,1,3.7142857142857144,3.857142857142857,0.5714285714285714,0.1428571428571428
CSE2610006,2026-08-01 00:05:00+00:00,Medium,3,2,3,1,4,3,4,4,5,3,4,5,5,3,1,3,0,3,1,2,0,2.857142857142857,4.142857142857143,1.4285714285714286,1.285714285714286
CSE2610007,2026-08-01 00:06:00+00:00,Medium,4,3,3,3,3,3,3,5,4,5,4,4,4,3,1,1,2,1,1,1,0,3.142857142857143,4.142857142857143,1.0,1.0000000000000004
CSE2610008,2026-08-01 00:07:00+00:00,Medium,4,3,4,2,4,3,1,4,4,4,4,4,3,5,0,1,0,2,0,0,4,3.0,4.0,1.0,1.0
CSE2610009,2026-08-01 00:08:00+00:00,Medium,4,4,1,3,3,4,3,4,3,4,4,4,4,4,0,0,3,1,1,0,1,3.142857142857143,3.857142857142857,0.8571428571428571,0.7142857142857144
CSE2610010,2026-08-01 00:09:00+00:00,Medium,4,4,4,4,2,3,1,4,5,4,4,4,5,4,0,1,0,0,2,2,3,3.142857142857143,4.285714285714286,1.1428571428571428,1.1428571428571428
CSE2610011,2026-08-01 00:10:00+00:00,Low,2,3,5,5,4,4,4,4,4,4,5,4,3,4,2,1,0,0,0,0,0,3.857142857142857,4.0,0.42857142857142855,0.1428571428571428
